country,iso,year,trust_pct
China,CHN,1993,59.4
China,CHN,1998,50.4
China,CHN,2004,52.5
China,CHN,2010,49.28643
China,CHN,2014,60.342
China,CHN,2022,63.48947
Colombia,COL,1998,10.72199
Colombia,COL,2010,14.31405
Colombia,COL,2014,4.100529
Colombia,COL,2022,4.539474
France,FRA,1984,22.29873
France,FRA,1993,21.35729
France,FRA,2004,21.43032
France,FRA,2010,23.68455
France,FRA,2022,26.25627
Germany,DEU,1984,25.92423
Germany,DEU,1993,28.87377
Germany,DEU,1998,32.13228
Germany,DEU,2004,33.05191
Germany,DEU,2010,35.58326
Germany,DEU,2014,44.62337
Germany,DEU,2022,41.61021
Italy,ITA,1984,24.53229
Italy,ITA,1993,32.75099
Italy,ITA,2004,31.75
Italy,ITA,2010,28.74554
Italy,ITA,2022,26.55384
South Africa,ZAF,1984,26.06516
South Africa,ZAF,1993,26.63296
South Africa,ZAF,1998,17.57288
South Africa,ZAF,2004,11.51627
South Africa,ZAF,2014,23.28115
United States,USA,1984,39.2496
United States,USA,1993,49.9909
United States,USA,1998,34.95129
United States,USA,2004,35.51853
United States,USA,2010,39.13124
United States,USA,2014,34.81074
United States,USA,2022,37.02172
